"medicine_id";"pharmacy_id"
1;1
1;2
1;13
1;16
1;24
1;35
1;38
1;44
1;46
1;50
1;51
1;62
1;64
1;72
1;73
1;86
1;92
1;98
1;99
1;102
1;104
1;130
1;137
1;172
1;181
1;183
1;195
1;219
1;224
1;239
1;242
1;248
1;256
1;258
3;1
3;2
3;4
3;6
3;13
3;14
3;16
3;24
3;25
3;35
3;38
3;44
3;46
3;50
3;51
3;53
3;54
3;62
3;63
3;64
3;68
3;72
3;73
3;74
3;79
3;81
3;83
3;86
3;90
3;92
3;96
3;98
3;99
3;102
3;104
3;130
3;131
3;137
3;145
3;157
3;172
3;175
3;181
3;183
3;186
3;195
3;196
3;207
3;208
3;209
3;219
3;223
3;224
3;239
3;242
3;244
3;247
3;248
3;256
3;258
3;263
4;1
4;2
4;3
4;5
4;10
4;13
4;16
4;18
4;24
4;26
4;33
4;35
4;37
4;38
4;39
4;41
4;44
4;46
4;50
4;51
4;56
4;59
4;60
4;62
4;64
4;69
4;70
4;72
4;73
4;86
4;87
4;92
4;94
4;97
4;98
4;99
4;101
4;102
4;104
4;107
4;108
4;113
4;115
4;117
4;123
4;126
4;128
4;130
4;133
4;134
4;137
4;138
4;143
4;144
4;147
4;148
4;153
4;155
4;158
4;159
4;161
4;163
4;165
4;169
4;171
4;172
4;174
4;177
4;178
4;179
4;181
4;183
4;188
4;191
4;195
4;201
4;216
4;219
4;224
4;229
4;234
4;236
4;239
4;242
4;243
4;248
4;249
4;253
4;256
4;258
4;261
4;262
5;1
5;2
5;11
5;12
5;13
5;16
5;24
5;29
5;35
5;38
5;44
5;46
5;50
5;51
5;58
5;62
5;64
5;72
5;73
5;80
5;86
5;89
5;92
5;93
5;98
5;99
5;102
5;104
5;110
5;112
5;121
5;125
5;130
5;136
5;137
5;154
5;168
5;172
5;180
5;181
5;183
5;193
5;195
5;197
5;202
5;203
5;205
5;210
5;219
5;224
5;239
5;242
5;248
5;256
5;258
6;1
6;2
6;4
6;6
6;9
6;10
6;13
6;14
6;16
6;17
6;19
6;24
6;25
6;31
6;34
6;35
6;36
6;38
6;39
6;40
6;42
6;44
6;46
6;50
6;51
6;53
6;54
6;57
6;59
6;62
6;63
6;64
6;68
6;69
6;72
6;73
6;74
6;79
6;81
6;83
6;86
6;90
6;92
6;96
6;98
6;99
6;101
6;102
6;104
6;108
6;113
6;117
6;118
6;119
6;123
6;126
6;128
6;130
6;131
6;134
6;137
6;140
6;145
6;148
6;152
6;155
6;157
6;158
6;161
6;165
6;167
6;169
6;170
6;171
6;172
6;173
6;175
6;177
6;181
6;183
6;184
6;186
6;191
6;195
6;196
6;201
6;207
6;208
6;209
6;215
6;218
6;219
6;223
6;224
6;227
6;230
6;234
6;236
6;237
6;239
6;242
6;244
6;247
6;248
6;253
6;256
6;258
6;262
6;263
6;264
7;1
7;2
7;13
7;16
7;21
7;22
7;24
7;27
7;32
7;35
7;38
7;44
7;46
7;49
7;50
7;51
7;62
7;64
7;72
7;73
7;76
7;78
7;86
7;88
7;92
7;98
7;99
7;102
7;104
7;111
7;114
7;127
7;129
7;130
7;132
7;135
7;137
7;146
7;160
7;166
7;172
7;181
7;182
7;183
7;195
7;217
7;219
7;224
7;239
7;242
7;245
7;248
7;251
7;252
7;256
7;257
7;258
7;266
8;1
8;2
8;3
8;5
8;8
8;10
8;13
8;16
8;18
8;23
8;24
8;26
8;33
8;35
8;37
8;38
8;39
8;41
8;44
8;46
8;50
8;51
8;55
8;56
8;59
8;60
8;61
8;62
8;64
8;67
8;69
8;70
8;71
8;72
8;73
8;82
8;85
8;86
8;87
8;91
8;92
8;94
8;97
8;98
8;99
8;101
8;102
8;104
8;105
8;106
8;107
8;108
8;113
8;115
8;117
8;120
8;123
8;126
8;128
8;130
8;133
8;134
8;137
8;138
8;139
8;143
8;144
8;147
8;148
8;149
8;153
8;155
8;158
8;159
8;161
8;163
8;165
8;169
8;171
8;172
8;174
8;176
8;177
8;178
8;179
8;181
8;183
8;188
8;190
8;191
8;195
8;198
8;200
8;201
8;216
8;219
8;221
8;222
8;224
8;229
8;232
8;234
8;235
8;236
8;238
8;239
8;242
8;243
8;248
8;249
8;253
8;256
8;258
8;259
8;261
8;262
8;265
9;1
9;2
9;4
9;6
9;7
9;13
9;14
9;16
9;24
9;25
9;28
9;35
9;38
9;44
9;45
9;46
9;47
9;50
9;51
9;53
9;54
9;62
9;63
9;64
9;65
9;68
9;72
9;73
9;74
9;75
9;77
9;79
9;81
9;83
9;86
9;90
9;92
9;96
9;98
9;99
9;100
9;102
9;103
9;104
9;109
9;116
9;122
9;124
9;130
9;131
9;137
9;141
9;145
9;157
9;162
9;164
9;172
9;175
9;181
9;183
9;185
9;186
9;189
9;192
9;195
9;196
9;199
9;207
9;208
9;209
9;213
9;219
9;220
9;223
9;224
9;225
9;228
9;239
9;240
9;242
9;244
9;246
9;247
9;248
9;254
9;256
9;258
9;260
9;263
9;267
10;1
10;2
10;10
10;11
10;12
10;13
10;15
10;16
10;20
10;24
10;29
10;30
10;35
10;38
10;39
10;43
10;44
10;46
10;48
10;50
10;51
10;52
10;58
10;59
10;62
10;64
10;66
10;69
10;72
10;73
10;80
10;84
10;86
10;89
10;92
10;93
10;95
10;98
10;99
10;101
10;102
10;104
10;108
10;110
10;112
10;113
10;117
10;121
10;123
10;125
10;126
10;128
10;130
10;134
10;136
10;137
10;142
10;148
10;150
10;151
10;154
10;155
10;156
10;158
10;161
10;165
10;168
10;169
10;171
10;172
10;177
10;180
10;181
10;183
10;187
10;191
10;193
10;194
10;195
10;197
10;201
10;202
10;203
10;204
10;205
10;206
10;210
10;211
10;212
10;214
10;219
10;224
10;226
10;231
10;233
10;234
10;236
10;239
10;241
10;242
10;248
10;250
10;253
10;255
10;256
10;258
10;262
11;1
11;2
11;13
11;16
11;24
11;35
11;38
11;44
11;46
11;50
11;51
11;62
11;64
11;72
11;73
11;86
11;92
11;98
11;99
11;102
11;104
11;130
11;137
11;172
11;181
11;183
11;195
11;219
11;224
11;239
11;242
11;248
11;256
11;258
12;1
12;2
12;3
12;4
12;5
12;6
12;9
12;10
12;13
12;14
12;16
12;17
12;18
12;19
12;24
12;25
12;26
12;31
12;33
12;34
12;35
12;36
12;37
12;38
12;39
12;40
12;41
12;42
12;44
12;46
12;50
12;51
12;53
12;54
12;56
12;57
12;59
12;60
12;62
12;63
12;64
12;68
12;69
12;70
12;72
12;73
12;74
12;79
12;81
12;83
12;86
12;87
12;90
12;92
12;94
12;96
12;97
12;98
12;99
12;101
12;102
12;104
12;107
12;108
12;113
12;115
12;117
12;118
12;119
12;123
12;126
12;128
12;130
12;131
12;133
12;134
12;137
12;138
12;140
12;143
12;144
12;145
12;147
12;148
12;152
12;153
12;155
12;157
12;158
12;159
12;161
12;163
12;165
12;167
12;169
12;170
12;171
12;172
12;173
12;174
12;175
12;177
12;178
12;179
12;181
12;183
12;184
12;186
12;188
12;191
12;195
12;196
12;201
12;207
12;208
12;209
12;215
12;216
12;218
12;219
12;223
12;224
12;227
12;229
12;230
12;234
12;236
12;237
12;239
12;242
12;243
12;244
12;247
12;248
12;249
12;253
12;256
12;258
12;261
12;262
12;263
12;264
13;1
13;2
13;13
13;16
13;24
13;35
13;38
13;44
13;46
13;50
13;51
13;62
13;64
13;72
13;73
13;86
13;92
13;98
13;99
13;102
13;104
13;130
13;137
13;172
13;181
13;183
13;195
13;219
13;224
13;239
13;242
13;248
13;256
13;258
14;1
14;2
14;10
14;13
14;16
14;21
14;22
14;24
14;27
14;32
14;35
14;38
14;39
14;44
14;46
14;49
14;50
14;51
14;59
14;62
14;64
14;69
14;72
14;73
14;76
14;78
14;86
14;88
14;92
14;98
14;99
14;101
14;102
14;104
14;108
14;111
14;113
14;114
14;117
14;123
14;126
14;127
14;128
14;129
14;130
14;132
14;134
14;135
14;137
14;146
14;148
14;155
14;158
14;160
14;161
14;165
14;166
14;169
14;171
14;172
14;177
14;181
14;182
14;183
14;191
14;195
14;201
14;217
14;219
14;224
14;234
14;236
14;239
14;242
14;245
14;248
14;251
14;252
14;253
14;256
14;257
14;258
14;262
14;266
15;1
15;2
15;4
15;6
15;11
15;12
15;13
15;14
15;16
15;24
15;25
15;29
15;35
15;38
15;44
15;46
15;50
15;51
15;53
15;54
15;58
15;62
15;63
15;64
15;68
15;72
15;73
15;74
15;79
15;80
15;81
15;83
15;86
15;89
15;90
15;92
15;93
15;96
15;98
15;99
15;102
15;104
15;110
15;112
15;121
15;125
15;130
15;131
15;136
15;137
15;145
15;154
15;157
15;168
15;172
15;175
15;180
15;181
15;183
15;186
15;193
15;195
15;196
15;197
15;202
15;203
15;205
15;207
15;208
15;209
15;210
15;219
15;223
15;224
15;239
15;242
15;244
15;247
15;248
15;256
15;258
15;263
16;1
16;2
16;3
16;5
16;8
16;10
16;13
16;16
16;18
16;23
16;24
16;26
16;33
16;35
16;37
16;38
16;39
16;41
16;44
16;46
16;50
16;51
16;55
16;56
16;59
16;60
16;61
16;62
16;64
16;67
16;69
16;70
16;71
16;72
16;73
16;82
16;85
16;86
16;87
16;91
16;92
16;94
16;97
16;98
16;99
16;101
16;102
16;104
16;105
16;106
16;107
16;108
16;113
16;115
16;117
16;120
16;123
16;126
16;128
16;130
16;133
16;134
16;137
16;138
16;139
16;143
16;144
16;147
16;148
16;149
16;153
16;155
16;158
16;159
16;161
16;163
16;165
16;169
16;171
16;172
16;174
16;176
16;177
16;178
16;179
16;181
16;183
16;188
16;190
16;191
16;195
16;198
16;200
16;201
16;216
16;219
16;221
16;222
16;224
16;229
16;232
16;234
16;235
16;236
16;238
16;239
16;242
16;243
16;248
16;249
16;253
16;256
16;258
16;259
16;261
16;262
16;265
17;1
17;2
17;13
17;16
17;24
17;35
17;38
17;44
17;46
17;50
17;51
17;62
17;64
17;72
17;73
17;86
17;92
17;98
17;99
17;102
17;104
17;130
17;137
17;172
17;181
17;183
17;195
17;219
17;224
17;239
17;242
17;248
17;256
17;258
18;1
18;2
18;4
18;6
18;7
18;9
18;10
18;13
18;14
18;16
18;17
18;19
18;24
18;25
18;28
18;31
18;34
18;35
18;36
18;38
18;39
18;40
18;42
18;44
18;45
18;46
18;47
18;50
18;51
18;53
18;54
18;57
18;59
18;62
18;63
18;64
18;65
18;68
18;69
18;72
18;73
18;74
18;75
18;77
18;79
18;81
18;83
18;86
18;90
18;92
18;96
18;98
18;99
18;100
18;101
18;102
18;103
18;104
18;108
18;109
18;113
18;116
18;117
18;118
18;119
18;122
18;123
18;124
18;126
18;128
18;130
18;131
18;134
18;137
18;140
18;141
18;145
18;148
18;152
18;155
18;157
18;158
18;161
18;162
18;164
18;165
18;167
18;169
18;170
18;171
18;172
18;173
18;175
18;177
18;181
18;183
18;184
18;185
18;186
18;189
18;191
18;192
18;195
18;196
18;199
18;201
18;207
18;208
18;209
18;213
18;215
18;218
18;219
18;220
18;223
18;224
18;225
18;227
18;228
18;230
18;234
18;236
18;237
18;239
18;240
18;242
18;244
18;246
18;247
18;248
18;253
18;254
18;256
18;258
18;260
18;262
18;263
18;264
18;267
19;1
19;2
19;13
19;16
19;24
19;35
19;38
19;44
19;46
19;50
19;51
19;62
19;64
19;72
19;73
19;86
19;92
19;98
19;99
19;102
19;104
19;130
19;137
19;172
19;181
19;183
19;195
19;219
19;224
19;239
19;242
19;248
19;256
19;258
20;1
20;2
20;3
20;5
20;10
20;11
20;12
20;13
20;15
20;16
20;18
20;20
20;24
20;26
20;29
20;30
20;33
20;35
20;37
20;38
20;39
20;41
20;43
20;44
20;46
20;48
20;50
20;51
20;52
20;56
20;58
20;59
20;60
20;62
20;64
20;66
20;69
20;70
20;72
20;73
20;80
20;84
20;86
20;87
20;89
20;92
20;93
20;94
20;95
20;97
20;98
20;99
20;101
20;102
20;104
20;107
20;108
20;110
20;112
20;113
20;115
20;117
20;121
20;123
20;125
20;126
20;128
20;130
20;133
20;134
20;136
20;137
20;138
20;142
20;143
20;144
20;147
20;148
20;150
20;151
20;153
20;154
20;155
20;156
20;158
20;159
20;161
20;163
20;165
20;168
20;169
20;171
20;172
20;174
20;177
20;178
20;179
20;180
20;181
20;183
20;187
20;188
20;191
20;193
20;194
20;195
20;197
20;201
20;202
20;203
20;204
20;205
20;206
20;210
20;211
20;212
20;214
20;216
20;219
20;224
20;226
20;229
20;231
20;233
20;234
20;236
20;239
20;241
20;242
20;243
20;248
20;249
20;250
20;253
20;255
20;256
20;258
20;261
20;262
21;1
21;2
21;4
21;6
21;13
21;14
21;16
21;21
21;22
21;24
21;25
21;27
21;32
21;35
21;38
21;44
21;46
21;49
21;50
21;51
21;53
21;54
21;62
21;63
21;64
21;68
21;72
21;73
21;74
21;76
21;78
21;79
21;81
21;83
21;86
21;88
21;90
21;92
21;96
21;98
21;99
21;102
21;104
21;111
21;114
21;127
21;129
21;130
21;131
21;132
21;135
21;137
21;145
21;146
21;157
21;160
21;166
21;172
21;175
21;181
21;182
21;183
21;186
21;195
21;196
21;207
21;208
21;209
21;217
21;219
